law_id,law_name,domain_code,law_type_code,ministry_name
4840bc57-d59b-45c8-bffa-29cbfbf22c97,전기용품 안전기준(KC 60598-2-4),ELECTRIC,NOTICE,국가기술표준원
80aab918-bb46-42d1-b558-b162aaee452d,전기용품 안전기준(KC 60598-2-5),ELECTRIC,NOTICE,국가기술표준원
3725c97b-a3d1-4deb-b78a-ebb893f74e8d,전기용품 안전기준(KC 60598-2-8),ELECTRIC,NOTICE,국가기술표준원
83f487c0-1162-4810-ac2b-46c36a2dac97,전기용품 안전기준(KC 60745-1),ELECTRIC,NOTICE,국가기술표준원
88751720-2b5b-4dec-aef3-9efd335a639e,전기용품 안전기준(KC 60745-2-1),ELECTRIC,NOTICE,국가기술표준원
960c2c72-3fec-4fd5-a69f-f1ccf2d24ba8,전기용품 안전기준(KC 60745-2-13),ELECTRIC,NOTICE,국가기술표준원
c79c7375-a5b2-4130-bd9f-249406d442aa,전기용품 안전기준(KC 60745-2-14),ELECTRIC,NOTICE,국가기술표준원
1cc825ba-a121-465f-b5aa-04721c02b13b,전기용품 안전기준(KC 60745-2-15),ELECTRIC,NOTICE,국가기술표준원
816a986e-6b91-4177-9d99-a95fb71545e0,전기용품 안전기준(KC 60745-2-16),ELECTRIC,NOTICE,국가기술표준원
6c88126e-1d81-4c03-9801-5481a7f80f96,전기용품 안전기준(KC 60745-2-17),ELECTRIC,NOTICE,국가기술표준원
1a216975-d6e8-4450-ac06-d2aa8732e81d,전기용품 안전기준(KC 60745-2-2),ELECTRIC,NOTICE,국가기술표준원
8b6c608a-8f89-4d40-adee-fa48ce47cdab,전기용품 안전기준(KC 60745-2-6),ELECTRIC,NOTICE,국가기술표준원
17b239a9-b05b-42cb-8fb3-36198639c803,전기용품 안전기준(KC 60745-2-8),ELECTRIC,NOTICE,국가기술표준원
5baa232a-f4b2-4840-9d52-922d0b6ec0bd,전기용품 안전기준(KC 60745-2-9),ELECTRIC,NOTICE,국가기술표준원
8dea0f11-a81d-4b10-b462-a9eb82cc6860,전기용품 안전기준(KC 60838-2-2),ELECTRIC,NOTICE,국가기술표준원
f2b38d90-b13c-4c23-87e8-442845c7b189,전기용품 안전기준(KC 60884-1),ELECTRIC,NOTICE,국가기술표준원
3e3305d3-8259-409a-95d8-001fc0ff9b6f,전기용품 안전기준(KC 60927),ELECTRIC,NOTICE,국가기술표준원
51f0285d-b6e3-49a6-9e62-4edd07318f6f,전기용품 안전기준(KC 60929),ELECTRIC,NOTICE,국가기술표준원
67804b7d-1bec-4b47-a410-d4efe8551141,전기용품 안전기준(KC 60947-2),ELECTRIC,NOTICE,국가기술표준원
dbfded1f-1cfb-4808-83fe-5a2d5a481e8e,전기용품 안전기준(KC 60968),ELECTRIC,NOTICE,국가기술표준원
0b4b9d17-40f3-4308-aba1-daebb71501d3,전기용품 안전기준(KC 61050),ELECTRIC,NOTICE,국가기술표준원
51391a31-5922-42cf-b418-9895bc85c33b,전기용품 안전기준(KC 61195),ELECTRIC,NOTICE,국가기술표준원
ad3d8b14-b65a-4b9d-849e-204ddd9530df,전기용품 안전기준(KC 61199),ELECTRIC,NOTICE,국가기술표준원
f12549e4-f112-4b7b-a8b3-fa33eca70f8e,전기용품 안전기준(KC 61347-1),ELECTRIC,NOTICE,국가기술표준원
e87695e5-bb65-4069-99ed-a96de7ba69b6,전기용품 안전기준(KC 61347-2-12),ELECTRIC,NOTICE,국가기술표준원
b3cbed8b-6543-4c5c-b4f4-e45ab8d83c55,전기용품 안전기준(KC 61347-2-13),ELECTRIC,NOTICE,국가기술표준원
91f7d388-cd3e-4409-9dc5-dc252af8feb6,전기용품 안전기준(KC 61347-2-8),ELECTRIC,NOTICE,국가기술표준원
8f408e81-ae40-4443-a620-17f9feca200a,전기용품 안전기준(KC 61347-2-9),ELECTRIC,NOTICE,국가기술표준원
64f6e725-4d62-4eb5-b1fc-47505dee312a,전기용품 안전기준(KC 61851-1),ELECTRIC,NOTICE,국가기술표준원
b0e2d526-935c-46bd-832a-96034ed7f625,전기용품 안전기준(KC 62031),ELECTRIC,NOTICE,국가기술표준원
1e0b695a-02f9-4f74-896a-40eb6d8ac1be,전기용품 안전기준(KC 62035),ELECTRIC,NOTICE,국가기술표준원
92eed318-c344-4f77-b2f5-d198bb477503,전기용품 안전기준(KC 62133-2),ELECTRIC,NOTICE,국가기술표준원
0e1afa55-7cd3-4bad-a2ce-ead625139ef5,전기용품 안전기준(KC 62196-2),ELECTRIC,NOTICE,국가기술표준원
6b88b3f9-8366-444f-9f0c-fb4cecd6f4f6,전기용품 안전기준(KC 62368-1),ELECTRIC,NOTICE,국가기술표준원
f469c1b5-4a02-4a5e-a644-6881c7518d3a,전기용품 안전기준(KC 62619),ELECTRIC,NOTICE,국가기술표준원
a89eb6c7-0b8c-4fa2-9716-64dccf19b191,전기용품 안전기준(KC 62752),ELECTRIC,NOTICE,국가기술표준원
